,ML,loss,Input Num,Input,MAPE train(%),MAPE val(%),MAPE test(%),Leave One
1775,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'gpu_architecture', 'gpu_boost_clock(GHz)', 'VRAM(GB)']",2.50599,3.18514,6.28264,13th corei7 - RTX4070
1776,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'gpu_core', 'gpu_boost_clock(GHz)', 'VRAM(GB)']",2.71334,3.27394,30.68107,13th corei5 - RTX3060 Ti
1777,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'gpu_core', 'gpu_boost_clock(GHz)', 'VRAM(GB)']",2.78521,3.42926,20.38002,13th corei7 - GTX1080
1778,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'gpu_core', 'gpu_boost_clock(GHz)', 'VRAM(GB)']",2.86476,3.45,33.41632,13th corei5 - GTX1650
1779,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'gpu_core', 'gpu_boost_clock(GHz)', 'VRAM(GB)']",2.50841,3.09903,25.73392,1th Xeon Gold - RTX4070
1780,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'gpu_core', 'gpu_boost_clock(GHz)', 'VRAM(GB)']",2.78365,3.55738,10.65709,13th corei7 - RTX3050
1781,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'gpu_core', 'gpu_boost_clock(GHz)', 'VRAM(GB)']",2.57136,3.22453,15.55594,13th corei5 - GTX1080
1782,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'gpu_core', 'gpu_boost_clock(GHz)', 'VRAM(GB)']",2.47231,3.23396,26.01249,13th corei5 - RTX4070
1783,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'gpu_core', 'gpu_boost_clock(GHz)', 'VRAM(GB)']",2.44896,3.15222,13.39448,13th corei7 - RTX3060 Ti
1784,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'gpu_core', 'gpu_boost_clock(GHz)', 'VRAM(GB)']",2.78378,3.36848,10.82137,13th corei5 - RTX3050
1785,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'gpu_core', 'gpu_boost_clock(GHz)', 'VRAM(GB)']",2.75115,3.3575,20.89069,1th Xeon Gold - GTX1080
1786,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'gpu_core', 'gpu_boost_clock(GHz)', 'VRAM(GB)']",2.72404,3.21736,22.32349,9th corei7 - RTX2080 Ti
1787,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'gpu_core', 'gpu_boost_clock(GHz)', 'VRAM(GB)']",2.60752,3.10884,13.47225,13th corei7 - RTX4070
1788,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_cache(MB)', 'gpu_architecture', 'gpu_core', 'gpu_boost_clock(GHz)']",2.72409,3.17357,12.2239,13th corei5 - RTX3060 Ti
1789,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_cache(MB)', 'gpu_architecture', 'gpu_core', 'gpu_boost_clock(GHz)']",2.77112,3.31258,20.76118,13th corei7 - GTX1080
